,,,2011_2,2012_1,2012_2,2013_1,2013_2,2014_1,2014_2,2015_1,,,,,,
uid,pickup lat,pickup lon,count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8,Count score,Revenue score,Average revenue,Revenue_Lost,Cluster,
40.75 -73.98,40.75,-73.98,15875413,16804719,15368509,15294572,14328161,14670390,13534662,12463088,90%,103%,4163044,7660001,5,New York
40.75 -73.97,40.75,-73.97,6464320,6921057,6297891,6382894,5900234,6082885,5497206,5079429,90%,102%,1656442,2915337,5,New York
40.72 -73.98,40.72,-73.98,6508580,6800752,6247190,6424344,6143594,6222148,5743107,5231896,92%,103%,1753522,2665354,5,New York
40.74 -73.98,40.74,-73.98,5902451,6302308,5705893,5824160,5335197,5379636,4857527,4486231,89%,100%,1433354,2522702,5,New York
40.72 -74,40.72,-74,4407543,4515139,4131868,4190379,4023158,3957849,3648086,3232334,89%,100%,1135024,1997642,5,New York
40.77 -73.95,40.77,-73.95,3945421,4316381,3839143,4068331,3691880,3814050,3466143,3323032,92%,102%,995535,1433570,10,New York
40.77 -73.98,40.77,-73.98,3586582,3798967,3443527,3532266,3286333,3406825,3087164,2946704,92%,103%,915029,1390845,18,New York
40.78 -73.95,40.78,-73.95,3782221,4098566,3698763,3858227,3504246,3625816,3314366,3238463,92%,102%,963587,1387565,10,New York
40.74 -74,40.74,-74,2503952,2609458,2399428,2374384,2273814,2275370,2089163,1859932,89%,101%,612503,1127005,5,New York
40.72 -74.01,40.72,-74.01,2199399,2414340,2134035,2262848,2109425,2158234,1927184,1741366,91%,102%,640782,1025250,23,Hoboken
40.75 -74,40.75,-74,2250846,2373043,2171949,2239297,2140972,2186999,2047897,1863273,93%,105%,587203,892548,5,New York
40.71 -74.01,40.71,-74.01,1747117,1833252,1663881,1657203,1671001,1630803,1599107,1493214,94%,106%,619506,892089,2,New York
40.77 -73.87,40.77,-73.87,1027768,1057606,1122373,1120617,1159324,1105481,1170298,1026257,102%,116%,838051,804529,21,Queens
40.78 -73.98,40.78,-73.98,2226407,2352895,2145797,2191509,2058856,2073572,1900003,1796892,91%,100%,547705,788695,18,New York
