pickup lat, pickup lon, hour, count, passengers, fare, trip time, trip distance, JFK trips, credit payments, cash payments,coffee,trending,food,sights,arts,specials,topPicks,outdoors,shops,drinks,neighborhood,cluster
39.22,-74.81,20,1,1,21.96,21,4.26,0,1,0,0,0,2,0,0,0,3,6,2,0,Woodbine,29
39.38,-74.43,18,1,1,13.56,11,2,0,1,0,12,0,28,9,7,3,37,23,58,16,Atlantic City,22
39.47,-74.53,11,1,1,52.8,7,10.34,1,0,1,5,0,14,0,0,0,24,6,11,6,Galloway,23
39.54,-74.26,6,1,1,8.76,6,1,0,1,0,0,0,6,0,0,0,11,12,0,0,Long Beach Township,21
39.64,-74.53,6,1,1,19.8,14,5.26,0,1,0,0,0,1,0,0,0,4,3,0,0,Chatsworth,21
39.67,-74.31,11,1,1,79.8,27,30.33,0,0,1,0,0,7,0,0,0,16,2,6,3,Eagleswood,23
39.82,-73.62,8,2,1,13.78,11.5,2.45,0,1,0,0,0,0,0,0,0,0,0,0,0,,2
39.95,-74.86,11,1,1,27.36,35,3.5,0,1,0,1,0,5,0,3,0,9,11,5,1,Medford,25
39.99,-74.06,22,1,6,15.96,10,3.14,0,1,0,5,0,29,4,0,0,32,28,20,6,Lavallette,16
40.07,-74.89,7,1,1,11,12,1.36,0,1,0,4,0,46,0,6,0,10,9,38,4,Beverly,8
40.15,-74.09,19,1,1,17.3,14,3.92,0,1,0,2,0,10,0,5,0,28,10,13,7,Wall Township,12
40.22,-73.31,19,1,1,11.3,9,1.78,0,1,0,0,0,0,0,0,0,0,0,0,0,,12
40.25,-74.04,12,1,1,13.3,17,1.77,0,0,1,11,0,66,0,4,2,11,9,60,3,Ocean Township,17
40.28,-73.95,22,1,1,58.84,34,18.7,0,0,1,0,0,0,0,0,0,2,2,0,0,Long Branch,16
40.29,-74.62,0,2,1,1.3,0,3.5,0,0,0,4,1,26,0,5,0,27,8,18,4,West Windsor Township,7
40.29,-74.62,23,1,1,3.8,0,3.5,0,0,0,4,1,26,0,5,0,27,8,18,4,West Windsor Township,28
40.32,-74.04,1,1,1,185.05,0,46.9,0,1,0,0,0,24,0,1,0,26,13,13,5,Rumson,9
40.32,-74.53,23,1,1,20.3,19,4.86,0,1,0,1,0,5,0,2,0,14,10,3,5,South Brunswick Township,28
40.34,-74.56,14,1,1,325.3,4,54.8,0,1,0,1,0,5,0,2,0,14,10,3,5,South Brunswick Township,4
40.35,-74.23,13,1,1,244.61,0,55.7,0,0,1,0,0,5,0,1,0,12,1,5,1,Colts Neck,10
40.38,-74.03,7,1,3,23.76,15,5.57,0,1,0,3,0,22,0,6,0,23,13,15,3,Rumson,8
40.4,-73.56,17,1,1,52.8,60,18.95,1,0,1,0,0,0,0,0,0,0,0,0,0,,1
40.42,-73,19,1,2,12.96,10,1.89,0,1,0,0,0,0,0,0,0,0,0,0,0,,12
40.42,-73.73,22,1,1,14.76,12,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,,16
